No.,Chinese (Simplified),Type,Gender,Note,Reference,EN,EN Optional,EN Status,JA,读音,JA Status,KO,KO Optional,KO Status,DE,FR,ES-419,RU,PT-BR,TH,ID,IT,Key_Index
4680,轨外谐音-原质驱力,物品/道具 Items/Props,/,深渊玩法中的卡牌道具,,Off-Rail Resonance - Essentia,,Confirmed,軌道外調和音-原質応用力,,Confirmed,변칙화음-근원력,,Confirmed,Nebengleis-Resonanz – Essenzia,Résonance de déraillement - Essentia,Resonancia descontrolada: Esencia,Внедорожный резонанс – эссентия,Ressonância Fora dos Trilhos - Essência,เรโซแนนซ์นอกเส้นทาง - เอสเซนเชีย,Resonansi Luar Jalur - Essentia,,
4681,轨外谐音-暴击伤害,物品/道具 Items/Props,/,深渊玩法中的卡牌道具,,Off-Rail Resonance - CRIT DMG,,Revised,軌道外調和音-クリティカルダメージ,,Confirmed,변칙화음-치명 피해,,Confirmed,Nebengleis-Resonanz – KRIT-SCH,Résonance de déraillement - DÉG Crit,Resonancia descontrolada: DAÑO CRÍ,Внедорожный резонанс – крит. урон,Ressonância Fora dos Trilhos - Dano CRÍT,เรโซแนนซ์นอกเส้นทาง - ดาเมจคริติคอล,Resonansi Luar Jalur - DMG CRT,,
4682,乘虚而入,物品/道具 Items/Props,/,深渊玩法中的卡牌道具；对处于「倾陷」状态下的敌人造成的伤害提升<lv>25%</>。,,Strike the Weak,,Confirmed,虚に乗じる,,Confirmed,틈새 공격,,Confirmed,Angriff auf die Schwachen,Frapper les faibles,Ataca al débil,Удар по слабым,Ataque aos Fracos,จู่โจมตอนอ่อนแอ,Serang yang Lemah,,
4683,孤胆英雄,物品/道具 Items/Props,/,深渊玩法中的卡牌道具,,Lone Hero,,Confirmed,孤高のヒーロー,,Confirmed,고독한 영웅,,Confirmed,Einsamer Held,Héros solitaire,Héroe solitario,Одинокий герой,Herói Solitário,ฮีโร่ผู้โดดเดี่ยว,Pahlawan Tunggal,,
4684,零点重启,物品/道具 Items/Props,/,深渊玩法中的卡牌道具；激活后，立刻重置当前操控角色「变轨攻击」的冷却时间。,,Zero Hour Restart,,Confirmed,ゼロリブート,,Confirmed,제로 리부트,,Confirmed,Beginn der Stunde Null,Relancement de l’heure H,Reinicio en hora cero,Перезапуск в час ноль,Reinício da Hora Zero,เริ่มใหม่ชั่วโมงที่ศูนย์,Restart Jam Nol,,
4685,原质盈涌,物品/道具 Items/Props,/,深渊玩法中的卡牌道具；激活后，当前操控角色的「场域原质」立刻补充至上限。,,Essence Surge,,Confirmed,本能奔流,,Confirmed,근원의 분출,,Confirmed,Essenzwoge,Déferlement d’essence,Aumento de esencia,Всплеск эссенции,Surto de Essência,เอซเซนส์เพิ่มพูน,Lonjakan Esens,,
4686,核心锚定,物品/道具 Items/Props,/,深渊玩法中的卡牌道具；激活后，将为范围内生命值上限最高的目标附加持续<lv>30</>秒的「怒火」标记。被「怒火」标记的敌人造成的伤害降低<lv>30%</>，同时队伍成员对其造成的伤害提升<lv>30%</>。,,Core Lock,,Confirmed,コアアンカー,,Confirmed,타깃 고정,,Confirmed,Kernsperre,Verrouillage de noyau,Bloqueo de núcleo,Блокировка ядра,Trava de Núcleo,ล็อกแกนกลาง,Gembok Inti,,
4687,怒火,战斗 Combat,/,触发 核心锚定 后对敌人施加的标记,,Fury,,Confirmed,烙印,,Confirmed,분노,,Confirmed,Raserei,Fureur,Furia,Ярость,Fúria,โทสะ,Murka,,
4688,顷刻裁决,物品/道具 Items/Props,/,深渊玩法中的卡牌道具；激活后，对场景内所有敌人造成相当于其生命值上限<lv>10%</>的伤害。,,Instant Judgment,,Confirmed,一閃断罪,,Confirmed,즉결 심판,,Confirmed,Sofortiges Urteil,Jugement instantané,Juicio instantáneo,Мгновенный приговор,Julgamento Instantâneo,พิพากษาฉับพลัน,Penghakiman Instan,,
4689,同调重启,物品/道具 Items/Props,/,深渊玩法中的卡牌道具；激活后，立刻重置队伍内所有角色「变轨攻击」的冷却时间。,,Sync Restart,,Confirmed,シンクロリブート,,Confirmed,동기화 리부트,,Confirmed,Synch-Neustart,Relancement de synchronisation,Reinicio de sincronización,Перезапуск синхронизации,Reinício de Sincronização,เริ่มใหม่พร้อมกัน,Restart Sinkronisasi,,
4690,万向涡流,物品/道具 Items/Props,/,深渊玩法中的卡牌道具；激活后，召唤一个存在<lv>30</>秒的小型「黑洞」，持续牵引周围敌人，每<lv>3</>秒对范围内所有敌人造成<lv>5000</>点固定暗系异能伤害。,,Omnidirectional Vortex,,Confirmed,万象渦流,,Confirmed,폭풍의 눈,,Confirmed,Omnidirektionaler Wirbel,Vortex omnidirectionnel,Vórtice onmidireccional,Всенаправленный вихрь,Vórtice Omnidirecional,วอร์เท็กซ์รอบทิศทาง,Pusaran Segala Arah,,
4691,生命援护,物品/道具 Items/Props,/,深渊玩法中的卡牌道具；,,Life Support,,Confirmed,生命援護,,Confirmed,HP 원조,,TBC,Lebenserhaltung,Assistance vitale,Soporte vital,Поддержка жизни,Suporte Vital,พยุงชีพ,Bantuan Hidup,,
4692,始发站,地点/场所 Location/Place,/,深渊玩法包装成了乘坐列车的形式，玩家乘坐深渊列车前往不同的站点开启副本,,Starting Station,,Confirmed,始発駅,,Confirmed,출발역,,Confirmed,Starthaltestelle,Gare de départ,Estación inicial,Начальная станция,Estação Inicial,สถานีเริ่มต้น,Stasiun Permulaan,,
4693,终点站,地点/场所 Location/Place,/,深渊玩法包装成了乘坐列车的形式，玩家乘坐深渊列车前往不同的站点开启副本,,Terminal Station,,Confirmed,終着駅,,Confirmed,종착역,,Confirmed,Endhaltestelle,Gare d’arrivée,Estación terminal,Конечная станция,Estação Terminal,สถานีปลายทาง,Stasiun Terminal,,
4694,第二站,地点/场所 Location/Place,/,深渊玩法包装成了乘坐列车的形式，玩家乘坐深渊列车前往不同的站点开启副本,,Second Stop,,Confirmed,2駅目,,Confirmed,두 번째 역,,Confirmed,Zweiter Halt,Deuxième arrêt,Segunda parada,Вторая остановка,Segunda Parada,จุดแวะที่ 2,Perhentian Kedua,,
4695,第三站,地点/场所 Location/Place,/,深渊玩法包装成了乘坐列车的形式，玩家乘坐深渊列车前往不同的站点开启副本,,Third Stop,,Confirmed,3駅目,,Confirmed,세 번째 역,,Confirmed,Dritter Halt,Troisième arrêt,Tercera parada,Третья остановка,Terceira Parada,จุดแวะที่ 3,Perhentian Ketiga,,
4696,第四站,地点/场所 Location/Place,/,深渊玩法包装成了乘坐列车的形式，玩家乘坐深渊列车前往不同的站点开启副本,,Fourth Stop,,Confirmed,4駅目,,Confirmed,네 번째 역,,Confirmed,Vierter Halt,Quatrième arrêt,Cuarta parada,Четвертая остановка,Quarta Parada,จุดแวะที่ 4,Perhentian Keempat,,
4697,第五站,地点/场所 Location/Place,/,深渊玩法包装成了乘坐列车的形式，玩家乘坐深渊列车前往不同的站点开启副本,,Fifth Stop,,Confirmed,5駅目,,Confirmed,다섯 번째 역,,Confirmed,Fünfter Halt,Cinquième arrêt,Quinta parada,Пятая остановка,Quinta Parada,จุดแวะที่ 5,Perhentian Kelima,,
4698,第六站,地点/场所 Location/Place,/,深渊玩法包装成了乘坐列车的形式，玩家乘坐深渊列车前往不同的站点开启副本,,Sixth Stop,,Confirmed,6駅目,,Confirmed,여섯 번째 역,,Confirmed,Sechster Halt,Sixième arrêt,Sexta parada,Шестая остановка,Sexta Parada,จุดแวะที่ 6,Perhentian Keenam,,
4699,第七站,地点/场所 Location/Place,/,深渊玩法包装成了乘坐列车的形式，玩家乘坐深渊列车前往不同的站点开启副本,,Seventh Stop,,Confirmed,7駅目,,Confirmed,일곱 번째 역,,Confirmed,Siebenter Halt,Septième arrêt,Séptima parada,Седьмая остановка,Sétima Parada,จุดแวะที่ 7,Perhentian Ketujuh,,
4700,第八站,地点/场所 Location/Place,/,深渊玩法包装成了乘坐列车的形式，玩家乘坐深渊列车前往不同的站点开启副本,,Eighth Stop,,Confirmed,8駅目,,Confirmed,여덟 번째 역,,Confirmed,Achter Halt,Huitième arrêt,Octava parada,Восьмая остановка,Oitava Parada,จุดแวะที่ 8,Perhentian Kedelapan,,
4701,第九站,地点/场所 Location/Place,/,深渊玩法包装成了乘坐列车的形式，玩家乘坐深渊列车前往不同的站点开启副本,,Ninth Stop,,Confirmed,9駅目,,Confirmed,아홉 번째 역,,Confirmed,Neunter Halt,Neuvième arrêt,Novena parada,Девятая остановка,Nona Parada,จุดแวะที่ 9,Perhentian Kesembilan,,
4702,常态增益,系统/玩法 System/Gameplay,/,深渊玩法中的buff tag,,Standard Boost,,Confirmed,常時バフ,,Confirmed,상시 버프,,Confirmed,Standard-Schub,Boost standard,Impulso estándar,Стандартное усиление,Boost Padrão,บูสต์มาตรฐาน,Peningkat Standar,,
4703,被动加持,系统/玩法 System/Gameplay,/,深渊玩法中的buff tag,,Passive Boost,,Confirmed,パッシブバフ,,Confirmed,패시브 가호,,Confirmed,Passiver Schub,Boost passif,Impulso pasivo,Пассивное усиление,Boost Passivo,บูสต์แพสซีฟ,Peningkat Pasif,,
4704,特异激活,系统/玩法 System/Gameplay,/,深渊玩法中的buff tag,,Special Activation,,Confirmed,異能解放,,Confirmed,특이 활성화,,Confirmed,Besondere Aktivierung,Activation spéciale,Activación especial,Особая активация,Ativação Especial,เปิดใช้งานแบบพิเศษ,Aktivasi Khusus,,
4705,加码,剧情 Storyline,/,拍卖会竞拍加码,,Raise the Stakes,,Confirmed,再入札,,Confirmed,호가 인상,,TBC,Erhöhen,Augmenter,Subir,Повысить,Aumentar a Aposta,ลงเงินเพิ่ม,Tingkatkan Taruhannya,,
4706,垃圾话,剧情 Storyline,/,拍卖会竞拍中双方为了取得拍品互相放狠话,,Trash Talk,,Confirmed,無駄口,,Confirmed,트래시 토크,,Confirmed,Mock,Échange d’insultes,Insultar,Словесная перепалка,Provocação,แทรชทอล์ก,Ejekan,,
4707,玛雷尼,地点/场所 Location/Place,/,即 玛雷尼披萨店,,Marigny,,Confirmed,マリニー,,Confirmed,마레니,,Confirmed,Marigny,Marigny,Marigny,Мариньи,Marigny,มารินี่,Marigny,,
4708,披萨餐厅,地点/场所 Location/Place,/,店铺种类,,Pizza Restaurant,,Confirmed,ピザレストラン,,Confirmed,피자 가게,,Confirmed,Pizza-Restaurant,Pizzeria,Pizzería,Пиццерия,Pizzaria,ร้านพิซซา,Restoran Pizza,,
4709,伊波恩仓库,地点/场所 Location/Place,/,伊波恩的仓库。事实上基本只有塔吉多在使用，里面堆放着他稀奇古怪的发明。或许能在里面找到有用的东西。,,Eibon Warehouse,,Confirmed,エイボン倉庫,,Confirmed,에이본 창고,,Confirmed,Eibon-Lagerhaus,Entrepôt d’Eibon,Almacén Eibon,Склад Эйбона,Armazém Eibon,โกดังร้านเอบอน,Gudang Eibon,,
4710,C.S.U.收容二组办公室,地点/场所 Location/Place,/,薄荷在异象管理局的办公室——话虽如此，这并不意味着整个办公室都属于薄荷，她的工位只有其中小小的一块。但总之，薄荷很欢迎你去她的办公室作客。,,CSU-2 Office,,Confirmed,C.S.U収容2課オフィス,,Confirmed,C.S.U 수용2팀 사무실,,Confirmed,EAE-2-Büro,Bureau de l’UCC-2,Oficina UAC-2,Офис ОС-2,Escritório GOC-2,สำนักงาน CSU-2,Kantor USP-2,,
4711,C.S.U.,组织 Organization,/,"收容行动组，Containment Strike Units简称CSU、收容组
负责一般异象的收容、泯除工作",,CSU,,Confirmed,C.S.U,,Confirmed,C.S.U,,Confirmed,EAE,UCC,UAC,ОС,GOC,CSU,USP,,
4712,揭谛,技能 Skills,/,阿德勒技能；触发极限闪避后使用「度恶」触发。阿德勒闪身躲过攻击后抓住敌人的破绽，迅速挥动武器，造成一次咒系异能伤害。,,Revelation,,Confirmed,羯諦,,Confirmed,아제,,TBC,Offenbarung,Révélation,Revelación,Откровение,Revelação,เผยซึ่งสัจธรรม,Revelation,,
4713,回避条件作用,技能 Skills,/,法帝娅技能；触发极限闪避后使用「话语中断的否定」触发。法帝娅高速冲撞向目标并造成伤害。,,Evasion Trigger,,Confirmed,回避条件作用,,Confirmed,회피 조건 발동,,Confirmed,Ausweichauslöser,Déclencheur d’évasion,Activación de evasión,Срабатывание уклонения,Gatilho de Evasão,สร้างเงื่อนไขการหลบเลี่ยง,Evasion Trigger,,
4714,一瞬灵感,技能 Skills,/,主角技能；触发极限闪避后使用「鉴痕·断」触发。主角抓住敌人攻击落空的破绽挥动武器进行反击，造成一次光系异能伤害。,,Flash of Inspiration,,Confirmed,一瞬の霊感,,Confirmed,찰나의 영감,,Confirmed,Geistesblitz,Flash d’inspiration,Destello de inspiración,Вспышка вдохновения,Clarão de Inspiração,พริบตาแห่งแรงบันดาลใจ,Flash of Inspiration,,
4715,猩红果冻,物品/道具 Items/Props,/,安魂曲技能的攻击物品,,Red Jelly,,Confirmed,真っ赤なゼリー,,Confirmed,붉게 물든 젤리,,Confirmed,Rote Grütze,Gelée rouge,Gelatina roja,Красное желе,Geleia Vermelha,เจลลี่สีแดง,Jeli Merah,,
4716,这次，捏成...的样子吧,其他 Other,/,安魂曲技能描述中的固定台词,,"This time, let's shape it like that...",,Confirmed,今回は「」を作ろうか。,,Confirmed,이번엔 ...처럼 만들어 볼까,,Confirmed,Dieses Mal sollten wir es so gestalten …,"Pour cette fois, faisons comme ça...",,,"Dessa vez, vamos moldar assim...",คราวนี้ทำเป็นแบบนี้ดีกว่า...,"Kali ini, mari bentuk jadi seperti itu...",,
4717,书脑袋,异象名称 Anomaly Name,Gender-neutral,安魂曲对异象 黑之书 的称呼,,book head,,Confirmed,本アタマ,,Confirmed,책머리,,Confirmed,Buchkopf,tête de bouquin,cabezalibro,книжная голова,cabeça de livro,หัวหนังสือ,kepala buku,,
4718,大黑猫,异象名称 Anomaly Name,Gender-neutral,安魂曲对异象 玛门 的称呼,,big black cat,,Confirmed,大きな黒猫,,Confirmed,검은 고양이,,Confirmed,Große schwarze Katze,grand chat noir,gatote negro,большая чёрная кошка,gato preto gigante,แมวดำตัวโต,kucing hitam besar,,
4719,红裙子,异象名称 Anomaly Name,Female,安魂曲对异象 永不谢幕的阿拉克涅 的称呼,,red dress,,Confirmed,赤スカート,,Confirmed,빨간 치마,,Confirmed,Rotes Kleid,robe rouge,vestido rojo,красное платье,vestido vermelho,เดรสแดง,gaun merah,,
4720,很吵的乐队,异象名称 Anomaly Name,Gender-neutral,安魂曲对异象 音霸魔王 的称呼,,noisy band,,Confirmed,うるさいバンド,,Confirmed,요란한 밴드,,Confirmed,Lärmkapelle,nuisance sonore,banda ruidosa,шумная группа,banda barulhenta,วงหนวกหู,band berisik,,
4721,章鱼卡车,异象名称 Anomaly Name,Gender-neutral,安魂曲对异象 拖车艄 的称呼,,octopus truck,,Confirmed,タコトラック,,Confirmed,문어 트럭,,Confirmed,Oktopus-Lastwagen,camion poulpe,camión de pulpo,грузовик-осьминог,caminhão polvo,รถบรรทุกปลาหมึก,truk gurita,,
4722,坏掉的熊熊,异象名称 Anomaly Name,Gender-neutral,安魂曲对异象 伤心英熊 的称呼,,broken teddy bear,,Confirmed,壊れたクマちゃん,,Confirmed,못된 곰,,Confirmed,Kaputter Teddybär,ourson cassé,osito de peluche roto,сломанный плюшевый мишка,ursinho quebrado,ตุ๊กตาหมีพัง,beruang teddy rusak,,
4723,肌肉电灯,异象名称 Anomaly Name,Gender-neutral,安魂曲对异象 长明灯 的称呼,,muscle lamp,,Confirmed,筋肉電灯,,Confirmed,근육빵빵 전등,,Confirmed,Muskelleuchte,lampe musclée,lámpara de músculo,мышечная лампа,luminária musculosa,โคมไฟล่ำ,lampu otot,,
4724,螃蟹披萨盒,异象名称 Anomaly Name,Gender-neutral,安魂曲对异象 唱片附电灵 的称呼,,crab pizza box,,Confirmed,カニピザボックス,,Confirmed,피자박스 꽃게,,Confirmed,Krabben-Pizzaschachtel,carton à pizza crabe,caja de pizza de cangrejo,коробка с крабовой пиццей,caixa de pizza de caranguejo,กล่องพิซซาปู,kota pizza kepiting,,
4725,大舌头电话亭,异象名称 Anomaly Name,Gender-neutral,安魂曲对异象 ReroRero电话亭 的称呼,,big tongue phone booth,,Confirmed,ペロリン電話ボックス,,Confirmed,메롱 전화부스,,Confirmed,Großzungen-Telefonzelle,cabine téléphonique à grande langue,cabina telefónica de lengua grande,телефонная будка с языком,cabine telefônica de língua grande,ตู้โทรศัพท์ลิ้นใหญ่,kotak telepon lidah besar,,
4726,人脸风筝,异象名称 Anomaly Name,Gender-neutral,安魂曲对异象 诡面筝 的称呼,,human face kite,,Confirmed,人面凧,,Confirmed,얼굴 연,,Confirmed,Menschengesicht-Drache,cerf-volant humanoïde,cometa con cara humana,змей с человеческим лицом,pipa de rosto humano,ว่าวหน้าคน,layang-layang wajah manusia,,
4727,纸翼战队,异象名称 Anomaly Name,Gender-neutral,,,Paper Squadron,,Confirmed,紙ヒコーキ戦隊,,Confirmed,페이퍼윙즈,,Confirmed,Papierstaffel,Escadron en papier,Escuadrón de papel,Бумажная эскадрилья,Esquadrão de Papel,กองบินกระดาษ,Skuadron Kertas,,
4728,空空的纸盒,异象名称 Anomaly Name,Gender-neutral,安魂曲对异象 增殖的C 的称呼,,empty cardboard box,,Confirmed,空っぽの段ボール,,Confirmed,텅 빈 종이상자,,Confirmed,Leerer Karton,carton vide,caja de cartón vacía,пустая картонная коробка,caixa de papelão vazia,ลังกระดาษเปล่า,kotak kardus kosong,,
4729,红罐头小人,异象名称 Anomaly Name,Gender-neutral,安魂曲对异象 红色「罐头锡兵」 的称呼,,red tin little person,,Confirmed,赤い缶詰の小人,,Confirmed,빨간 깡통 난쟁이,,Confirmed,Roter Zinnzwerg,petit gars en plomb rouge,personita de lata roja,красный оловянный человечек,homenzinho de lata vermelho,มนุษย์ดีบุกแดงตัวจิ๋ว,manusia kecil timah merah,,
4730,蓝罐头小人,异象名称 Anomaly Name,Gender-neutral,安魂曲对异象 蓝色「罐头锡兵」 的称呼,,blue tin little person,,Confirmed,青い缶詰の小人,,Confirmed,파란 깡통 난쟁이,,Confirmed,Blauer Zinnzwerg,petit gars en plomb bleu,personita de lata azul,синий оловянный человечек,homenzinho de lata azul,มนุษย์ดีบุกน้ำเงินตัวจิ๋ว,manusia kecil timah biru,,
4731,长棍子,异象名称 Anomaly Name,Gender-neutral,安魂曲对异象 撬撬 的称呼,,long stick,,Confirmed,長い棒,,Confirmed,긴 막대기,,Confirmed,Langstäbchen,grand bâton,palo largo,длинная палка,bastão longo,แท่งยาว,stik panjang,,
4732,罐头锡兵,异象名称 Anomaly Name,Gender-neutral,,,Tin Soldier,,Confirmed,缶詰兵士,,Confirmed,양철 병정,,Confirmed,Zinnsoldat,Soldat de plomb,Soldado de lata,Оловянный солдатик,Soldado de Lata,ทหารดีบุก,Prajurit Timah,,
4733,焦糖脆片,技能 Skills,/,薄荷的技能；触发极限闪避后使用「满分收容术」触发。薄荷轻松跃起躲过攻击后抓住敌人的破绽，迅速挥动武器，造成一次灵系异能伤害。,,Caramel Crisp,,Confirmed,キャラメルクランチ,,Confirmed,카라멜 칩,,Confirmed,Karamellbonbon,Croustillant au caramel,Caramelo crujiente,Карамельный хруст,Doce de Caramelo Crocante,บิสกิตคาราเมล,Caramel Crisp,,
4734,伤我没门！,技能 Skills,/,娜娜莉的技能；触发极限闪避后使用「柯林斯秘传技法」触发。娜娜莉全速冲向目标，单手撑地回旋踢击目标造成伤害。,,Can't Touch This!,,Confirmed,傷一つつけさせないぞ！,,Confirmed,절대 맞을 리 없지!,,Confirmed,Unantastbar!,Pas touche !,¡No puedes conmigo!,Не трогать!,Não Encosta!,ทำอะไรฉันไม่ได้หรอก!,Can't Touch This!,,
4735,柯林斯·嗷呜术,技能 Skills,/,娜娜莉的技能；改编自柯林斯·黑喵术,,Colucci Howling Technique,,Confirmed,コリンス・アウー術,,Confirmed,콜린스·어흥술,,Confirmed,Coluccis Jaultechnik,Hurlement des Colucci,Técnica de aullido de Colucci,Техника воя Колуччи,Técnica do Uivo Colucci,วิชาหอนสไตล์คอลุคชี,Colucci Howling Technique,,
4736,顿笔签字,技能 Skills,/,翳的技能；触发极限闪避后使用「拘管格斗术」触发。翳使用以泼墨般的暗影重击对手，造成1次相系伤害。,,Pen to Paper,,Confirmed,揮毫サイン,,Confirmed,회심의 일획,,Confirmed,Vom Stift zum Papier,Du crayon au papier,Escritura,Перо на бумаге,Caneta no Papel,เซ็นด้วยหมึก,Pen to Paper,,
4737,拖车迷影,任务/成就 Quest/Achievement,/,完成异象委托：「侵略！章鱼拖车！」。,,Tow Shadow,,Confirmed,トレーラーシャドー,,Confirmed,트레일러의 잔상,,Confirmed,Abschleppschatten,Ombre-remorque,Sombra de remolque,Тянущая тень,Sombra Puxada,เงามืดลากพ่วง,Bayangan Derek,,
4738,弯道怪影,任务/成就 Quest/Achievement,/,完成异象委托：「白尾树环山公路之影」。,,Ghost of Whitetail Ridge,,Confirmed,コーナーの怪影,,Confirmed,커브길의 실루엣,,Confirmed,Der Geist vom Weißwedelkamm,Le fantôme de la Crête de la queue blanche,Fantasma de la Cresta Colablanca,Призрак Уайттейл-Ридж,Fantasma do Cume Whitetail,ผีแห่งสันเขาหางขาว,Hantu Whitetail Ridge,,
4739,极限拉力狂徒,任务/成就 Quest/Achievement,/,完成异象委托：「幽灵大道狂野拉力赛」。,,Extreme Rally Fanatic,,Confirmed,極限ラリー狂,,Confirmed,익스트림 랠리광,,Confirmed,Extremer Rallyefanatiker,Fanatisme des rallyes extrêmes,Fanático extremo de las congregaciones,Поклонник экстремальных ралли,Fanático por Rali Extremo,แรลลี่บ้าระห่ำสุดเหวี่ยง,Fanatik Reli Ekstem,,
4740,哔、啵啵~哔啵哔！,,/,完成异象委托「音霸魔王」。,,"Beep, boop boop! Beep boop beep!",,Confirmed,ピー、ポポピーポピー！,,Confirmed,삐! 뽀뽀~ 삐뽀삐!,,Confirmed,"Piep, biep, biep! Piep, biep, piep, piep!","Bip, boup, boup ! Bip, boup, bip !",,,"Bip, bop bop! Bip bop bip!",บี๊บบู๊บบู๊บ! บี๊บบู๊บบี๊บ!,"Bip, bop bop! Bip bop bip!",,
4741,小熊缝缝补补,任务/成就 Quest/Achievement,/,完成异象委托「伤心的熊不流泪」。,,Little Bear's Patchwork,,Confirmed,クマちゃんのお裁縫,,Confirmed,곰돌이 꿰매기,,Confirmed,Flickwerk des kleinen Bären,Patchwork de nounours,Retazos de osito,Лоскутное шитье медвежонка,Remendo do Ursinho,ปะชุนเจ้าหมีน้อย,Tambalan Beruang Kecil,,
4742,快充人生,任务/成就 Quest/Achievement,/,完成异象委托「省电侠」。,,Quickcharge Compatible,,Confirmed,クイックチャージ人生,,Confirmed,고속충전 인생,,Confirmed,Schnellladefähig,Compatible avec la charge rapide,Compatible con carga rápida,Возможность быстрой зарядки,Compatível com Carga Rápida,รองรับระบบชาร์จด่วน,Kompatibel dengan Quickcharge,,
4743,K.O之夜,任务/成就 Quest/Achievement,/,完成异象委托「派对拳王」。,,Night of K.O.,,Confirmed,K.O.の夜,,Confirmed,K.O의 밤,,Confirmed,K. O.-Nacht,La nuit des K.O.,Noche de K.O.,Ночь нокаута,Noite de Nocaute,ค่ำคืนแห่ง K.O.,Malam K.O.,,
4744,ONE ON ONE！,任务/成就 Quest/Achievement,/,完成异象委托「球场拳王」。,,ONE ON ONE!,,Confirmed,ワンオンワン！,,Confirmed,ONE ON ONE!,,Confirmed,EINER GEGEN EINEN!,TÊTE À TÊTE !,¡UNO A UNO!,ОДИН НА ОДИН!,UM CONTRA UM!,วันออนวัน!,SATU LAWAN SATU!,,
4745,永不止跃,任务/成就 Quest/Achievement,/,完成异象委托「天弃之子」。,,Never Stop Leaping,,Confirmed,終わりなき跳躍,,Confirmed,영원한 도약,,Confirmed,Niemals aufhören zu springen,Sauter pour l’éternité,Nunca dejes de saltar,Всегда прыгать,Nunca Pare de Saltar,ไม่หยุดทวนกระแส,Jangan Pernah Berhenti Melompat,,
4746,再来一局？,任务/成就 Quest/Achievement,/,完成异象委托「素徊偶」。,,Another round?,,Confirmed,もう一局？,,Confirmed,한 판 더?,,Confirmed,Noch eine Runde?,C’est reparti ?,¿Otra ronda?,Еще один раунд?,Mais Uma Rodada?,อีกรอบมั้ย?,Seronde lagi?,,
4747,是你先动的维度！,任务/成就 Quest/Achievement,/,完成异象委托「换个角度？」。,,You Moved First!,,Confirmed,そっちが先に次元をいじっただろ！,,Confirmed,네가 먼저 차원을 건드렸잖아!,,Confirmed,Du hast dich zuerst bewegt!,Vous avez bougé en premier !,¡Tú te moviste antes!,Ты шевельнулся первым!,Você se Moveu Primeiro!,คุณขยับมิติก่อนเลย!,Kau Gerak Duluan!,,
4748,52赫兹,任务/成就 Quest/Achievement,/,完成异象委托「深蓝之恸」。,,52 Hertz,,Confirmed,52ヘルツ,,Confirmed,52Hz,,Confirmed,52 Hertz,52 Hertz,52 hercios,52 герца,52 Hertz,52 เฮิตซ์,52 Hertz,,
4749,人生交契无老少,任务/成就 Quest/Achievement,/,,,Friendship Knows No Age,,Confirmed,友情に年齢は関係ない,,Confirmed,우정에 있어 나이는 숫자일 뿐,,Confirmed,Freundschaft kennt kein Alter,L’amitié n’a pas d’âge,La amistad no entiende de edades,Дружба не знает возраста,Amizade Não Tem Idade,มิตรภาพไม่มีแบ่งอายุ,Persahabatan Tak Kenal Usia,,
4750,猫鸟饲养员同伴,任务/成就 Quest/Achievement,/,,,Cat and Bird Caretaker Companion,,Confirmed,キャットバード飼育員仲間,,Confirmed,부엉이 사육 파트너,,Confirmed,Begleitergefährte für Katzen und Vögel,Protection du chat et de l’oiseau,Compañero cuidador de gatos y pájaros,Помощник по уходу за кошками и птицами,Companheiro Cuidador de Gato e Pássaro,เพื่อนผู้ดูแลแมวกับนก,Pendamping Pengurus Kucing dan Burung,,
4751,……四个叹号省略。,任务/成就 Quest/Achievement,/,,,...Four Exclamation Marks,,Confirmed,「！！！！」省略…,,Confirmed,... 느낌표 4개 생략,,Confirmed,… Vier Ausrufezeichen,… Quatre points d’exclamation,Cuatro exclamaciones,…Четыре восклицательных знака,...Quatro Pontos de Exclamação,...เครื่องหมายตกใจสี่ตัว,...Empat Tanda Seru,,
4752,今晚饮料我包了,任务/成就 Quest/Achievement,/,,,Drinks on Me,,Confirmed,今夜のドリンクは奢るよ！,,Confirmed,오늘 음료는 내가 쏜다,,Confirmed,Die Getränke übernehme ich,C’est ma tournée,A las bebidas invito yo,Напитки за мой счет,Hoje Eu Pago as Bebidas,เดี๋ยวฉันเลี้ยงเหล้าเอง,Aku Traktir Minum,,
4753,StarSign终身会员,任务/成就 Quest/Achievement,/,,,StarSign Lifetime Member,,Confirmed,スターサイン終身会員,,Confirmed,StarSign 종신 멤버,,Confirmed,Sternzeichen-Ewigkeitsmitglied,Membre à vie de Signastro,Miembro vitalicio de StarSign,Пожизненный член «Звездного знака»,Membro Vitalício StarSign,สมาชิกสตาร์ไซน์ตลอดชีพ,Anggota Seumur Hidup StarSign,,
4754,我的一位「老」朋友,任务/成就 Quest/Achievement,/,,,An Old Friend of Mine,,Confirmed,「年寄」の友だち,,Confirmed,나의 「오랜」 친구,,Confirmed,Ein alter Freund von mir,Une vieille connaissance,Un viejo amigo,Мой старый друг,Um Velho Amigo Meu,"เพื่อน ""เก่าแก่"" ของฉัน",Teman Lamaku,,
4755,衰暮亦乐遇新知,任务/成就 Quest/Achievement,/,,,New Friends Bring Joy,,Confirmed,老いてなお新しい出会いを喜ぶ,,Confirmed,노년의 벗,,Confirmed,Neue Freunde bringen Freude,Les nouvelles amitiés apportent de la joie,Las amistades nuevas traen alegría,Новые друзья приносят радость,Novos Amigos Trazem Alegria,แม้วัยจะล่วงเลย แต่การได้เจอเพื่อนใหม่ก็ทำให้สุขใจเสมอ,Teman Baru Bawa Bahagia,,
